word,similarity
4b,0.914664626121521
weatherfield,0.904552161693573
1,0.8712385296821594
esq,0.8483982086181641
indian,0.7782480120658875
detective,0.767414391040802
fourth,0.7352980375289917
shirley,0.7216392755508423
drugstore,0.7183558940887451
hazel,0.7145127654075623
